SampleID,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,pH,EC,TDS,Temp,Fe,Mn,TH,WaterType
S034,114.38,49.45,129.56,18.35,107.03,34.27,156.56,15.88,7.71,1070.8,424.6,23.7,1.48,0.015,489.14,Ca-Cl
S035,116.22,39.84,73.09,10.72,74.7,30.19,12.91,40.41,7.44,562.1,962.3,25.7,0.909,0.79,454.18,Ca-HCO3
S036,98.92,52.93,75.05,10.53,274.85,178.23,9.61,21.59,8.76,2264.5,829.6,24.1,0.238,0.343,464.86,Ca-HCO3
S037,43.51,49.2,147.38,16.17,59.28,27.46,70.88,30.21,6.76,1812.2,1657.8,22.1,2.294,0.308,311.15,Na-Cl
S038,20.74,15.26,180.25,13.35,255.02,207.25,146.85,8.17,7.42,1587.0,735.2,31.3,0.351,0.544,114.6,Na-Cl
S039,85.27,54.09,178.32,14.34,379.08,179.5,177.77,9.06,8.73,2524.1,1099.6,28.7,2.376,0.175,435.55,Na-HCO3
S040,58.42,34.66,157.74,16.12,251.42,29.52,31.32,2.32,8.49,2250.4,1185.9,20.0,1.121,0.76,288.54,Na-HCO3
S041,23.42,49.41,131.27,17.91,185.86,30.36,108.97,8.02,8.38,594.4,151.9,30.2,0.471,0.629,261.85,Na-HCO3
S042,64.47,54.29,24.15,7.42,275.15,246.79,71.66,12.9,7.09,1010.5,1238.1,24.8,1.359,0.072,384.44,Ca-Cl
S043,13.78,22.49,39.03,8.14,210.39,99.82,174.74,8.38,6.89,846.1,427.3,30.5,2.184,0.335,126.98,Na-Cl
S044,110.03,11.05,180.52,2.79,240.97,98.95,152.37,4.45,8.04,2134.3,1735.0,29.2,1.833,0.703,320.23,Na-Cl
S045,38.47,17.54,124.43,11.99,379.51,205.07,151.71,5.87,8.64,287.2,378.3,24.0,2.018,0.756,168.25,Na-HCO3
S046,82.88,28.49,9.77,1.68,185.14,237.34,87.02,21.0,7.78,1681.7,822.4,18.3,1.65,0.374,324.22,Ca-Cl
S047,44.29,49.99,27.48,9.85,386.42,246.64,77.59,9.68,7.81,2182.4,272.5,21.8,1.734,0.491,316.35,Ca-HCO3
S048,67.21,52.34,135.39,11.31,366.87,190.81,52.85,16.71,7.14,2479.6,1794.8,25.6,2.124,0.134,383.25,Na-HCO3
S049,70.14,5.38,8.97,6.44,118.53,100.3,14.87,22.9,8.27,1089.4,968.7,26.9,0.632,0.793,197.28,Ca-HCO3
S050,30.33,33.09,38.88,12.23,74.28,30.04,156.33,31.22,6.93,2335.3,1124.3,21.6,1.229,0.186,211.93,Ca-Cl
S051,116.65,27.96,113.36,1.58,85.27,196.52,147.26,2.25,7.24,487.6,242.0,20.0,0.561,0.754,406.36,Ca-Cl
S052,95.26,17.22,140.84,1.71,56.38,144.02,179.95,36.07,7.48,2400.8,1382.4,29.7,2.469,0.52,308.74,Na-Cl
S053,113.34,11.59,133.18,16.63,83.06,111.81,179.41,28.44,7.67,531.5,480.5,31.8,2.361,0.487,330.71,Na-Cl
S054,108.43,23.57,51.06,7.84,289.05,227.53,102.2,4.14,7.06,1232.9,1629.8,25.4,0.108,0.411,367.76,Ca-Cl
S055,75.77,56.86,144.74,3.41,74.92,36.69,139.57,39.37,6.76,2273.0,472.6,20.4,1.767,0.185,423.23,Na-Cl
S056,111.41,22.78,53.55,10.92,161.64,128.23,170.33,41.48,7.9,589.8,448.4,21.8,2.314,0.142,371.95,Ca-Cl
S057,19.73,33.53,70.48,15.63,345.71,12.72,153.69,3.22,7.16,796.1,191.0,18.3,0.46,0.177,187.28,Na-HCO3
S058,31.56,43.67,151.33,5.1,58.15,122.48,48.29,12.82,7.84,2077.9,918.4,30.8,1.424,0.15,258.55,Na-Cl
S059,14.98,25.0,132.73,12.83,335.06,23.51,83.85,36.38,6.86,2072.1,1073.3,19.6,2.29,0.624,140.31,Na-HCO3
S060,45.79,58.45,171.05,2.62,148.65,38.52,27.6,33.8,7.61,1867.0,239.7,26.1,0.095,0.281,354.92,Na-HCO3
S061,52.75,57.93,134.26,1.98,91.36,38.21,171.96,8.71,7.72,2004.3,1425.1,21.8,1.747,0.047,370.16,Na-Cl
S062,39.85,18.85,117.12,11.1,293.86,165.81,111.08,9.82,6.62,1611.1,887.0,25.8,0.75,0.775,177.09,Na-HCO3
S063,101.16,32.35,25.99,11.27,270.13,189.05,45.01,16.99,7.27,854.7,1005.7,27.1,2.312,0.707,385.75,Ca-HCO3
S064,49.24,21.55,78.6,13.11,357.12,150.01,122.55,22.06,6.81,1098.8,866.1,29.6,2.428,0.742,211.65,Na-HCO3
S065,40.9,20.67,58.92,14.8,307.27,240.92,113.17,28.01,6.65,672.2,799.3,20.9,2.361,0.796,187.21,Na-Cl
S066,69.7,7.03,54.85,19.54,331.22,99.97,67.68,16.92,8.78,2562.0,1064.6,18.2,1.191,0.14,202.98,Ca-HCO3
S067,25.5,38.53,194.82,10.81,148.71,78.57,24.87,21.08,7.24,1716.8,389.3,19.9,2.156,0.318,222.26,Na-HCO3
S068,98.24,32.65,83.47,7.14,112.1,218.46,122.53,33.76,8.36,1242.2,433.8,30.6,2.113,0.607,379.69,Ca-Cl
S069,18.2,7.83,179.27,16.11,312.72,63.66,96.05,2.13,7.09,1401.2,1569.2,30.2,0.805,0.557,77.67,Na-HCO3
S070,118.56,20.33,129.18,6.15,332.39,241.17,140.16,11.73,8.07,2662.9,1710.0,26.4,2.074,0.124,379.72,Ca-Cl
S071,94.95,54.95,160.6,9.34,396.68,12.92,96.03,32.24,8.25,598.7,753.4,26.4,0.102,0.653,463.26,Na-HCO3
S072,31.86,18.18,104.51,2.49,194.42,242.77,154.13,40.34,7.87,1724.2,582.1,27.3,1.495,0.18,154.38,Na-Cl
S073,10.61,12.97,118.77,1.48,180.21,20.36,101.58,23.27,7.58,1515.3,1205.5,20.5,0.583,0.18,79.88,Na-HCO3
S074,99.7,31.92,102.56,19.29,321.74,223.87,103.16,24.18,7.45,1789.8,812.6,30.8,0.31,0.43,380.33,Ca-Cl
S075,87.75,59.21,45.49,16.88,169.28,136.65,158.41,5.27,7.3,247.1,172.4,23.9,0.202,0.475,462.82,Ca-Cl
S076,90.19,18.31,146.71,14.22,375.77,248.31,75.61,20.41,8.64,2467.5,390.8,23.4,1.744,0.464,300.57,Na-HCO3
S077,94.84,41.97,61.91,8.77,350.44,27.71,28.45,24.2,8.41,2623.5,1325.7,25.3,0.856,0.074,409.56,Ca-HCO3
S078,18.14,46.89,12.67,4.29,200.15,142.93,10.04,11.29,8.72,1669.3,1230.4,18.7,1.815,0.702,238.29,Ca-HCO3
S079,49.43,18.07,131.93,3.97,312.8,242.63,137.15,12.48,6.79,2011.3,175.3,20.3,0.173,0.213,197.8,Na-Cl
S080,22.75,45.05,42.01,5.75,314.09,135.54,113.55,17.29,8.18,2598.5,500.7,28.3,0.795,0.104,242.23,Ca-HCO3
